"filename", "language", "CSS", "PHP", "Markdown", "JavaScript", "XML", "HTML", "JSON", "YAML", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\contact.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 0, 2, 11, 91
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\gmaps.js", "JavaScript", 0, 0, 0, 1628, 0, 0, 0, 0, 0, 37, 401, 2066
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\html5shiv.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 1, 9
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\jquery.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 6
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\jquery.prettyPhoto.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\jquery.scrollUp.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 13, 0, 14
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\lightgallery-all.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 5
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\lightslider.js", "JavaScript", 0, 0, 0, 1102, 0, 0, 0, 0, 0, 11, 27, 1140
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\main.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 5, 31
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\prettify.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 28
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\price-range.js", "JavaScript", 0, 0, 0, 319, 0, 0, 0, 0, 0, 25, 44, 388
"c:\xampp\htdocs\shopbanhanglaravel\public\frontend\js\sweetalert.min.js", "JavaScript", 0, 0, 0, 762, 0, 0, 0, 0, 0, 201, 233, 1196
"c:\xampp\htdocs\shopbanhanglaravel\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
